"geschlecht";"spezialisierung_schule";"score_schule";"specialsisierung_hochschule";"score_hochschule";"berufserfahrung";"score_berufsfaehigkeit";"job"
"F";"Handel";81,4;"HR";62,41;"Nein";51,69;"Ja"
"F";"Wissenschaft";57,4;"Fin";60,98;"Ja";81;"Ja"
"M";"Handel";63,8;"Fin";64,65;"Nein";85,1;"Nein"
"M";"Handel";73,4;"Fin";70,35;"Ja";95,3;"Ja"
"M";"Wissenschaft";64,6;"HR";56,1;"Nein";85;"Nein"
"M";"Handel";73,8;"Fin";56;"Nein";96,7;"Ja"
"M";"Handel";60,42;"HR";62,35;"Nein";68,8;"Nein"
"F";"Kunst";59,5;"Fin";60,28;"Nein";78,1;"Nein"
"F";"Wissenschaft";52,7;"HR";70,01;"Nein";59,72;"Ja"
"M";"Wissenschaft";42,1;"Fin";52,39;"Nein";98,7;"Nein"
"M";"Handel";60,1;"Fin";57,44;"Ja";93,6;"Ja"
"F";"Handel";54,9;"Fin";66,73;"Ja";77,2;"Nein"
"F";"Wissenschaft";61,3;"Fin";69,6;"Ja";69,4;"Ja"
"M";"Wissenschaft";64,1;"HR";60,2;"Nein";60,4;"Nein"
"M";"Wissenschaft";68,5;"HR";54,41;"Nein";71,5;"Ja"
"M";"Handel";93;"HR";58,3;"Nein";53,9;"Ja"
"M";"Handel";77,6;"Fin";61,66;"Ja";97,16;"Ja"
"M";"Wissenschaft";63,1;"Fin";61,84;"Ja";65,6;"Ja"
"F";"Wissenschaft";52,4;"HR";57,42;"Nein";63,4;"Nein"
"M";"Handel";81,4;"Fin";60,67;"Nein";49,9;"Nein"
"F";"Wissenschaft";63,4;"HR";68,61;"Nein";55,13;"Ja"
"F";"Handel";72,3;"Fin";57,11;"Nein";72,7;"Ja"
"F";"Wissenschaft";69,4;"Fin";60,27;"Nein";72,6;"Ja"
"M";"Wissenschaft";61,9;"HR";56,44;"Nein";85,4;"Ja"
"M";"Wissenschaft";50,43;"Fin";67,43;"Ja";66,4;"Ja"
"M";"Handel";61,9;"HR";52,74;"Nein";60,3;"Ja"
"M";"Wissenschaft";53,8;"HR";60,44;"Nein";57,7;"Nein"
"M";"Handel";80,5;"Fin";66,94;"Ja";64,29;"Ja"
"F";"Handel";71,7;"Fin";66,52;"Nein";53,34;"Ja"
"F";"Wissenschaft";59;"HR";59,1;"Nein";54,4;"Ja"
"F";"Handel";78,1;"Fin";67,54;"Nein";95,65;"Nein"
"F";"Handel";64,8;"HR";59,83;"Nein";70,7;"Ja"
"M";"Wissenschaft";80,5;"Fin";57,35;"Ja";68,7;"Ja"
"M";"Handel";43,8;"Fin";51,35;"Nein";65,1;"Nein"
"F";"Kunst";65,3;"Fin";70,1;"Ja";79,7;"Ja"
"M";"Wissenschaft";58,36;"Fin";59,9;"Ja";55,3;"Ja"
"M";"Wissenschaft";57,5;"HR";60,42;"Nein";87,4;"Nein"
"M";"Wissenschaft";61,6;"HR";59,74;"Nein";78,8;"Nein"
"M";"Handel";82,53;"Fin";59,55;"Nein";85,8;"Ja"
"F";"Kunst";86,5;"Fin";64,68;"Nein";56,8;"Ja"
"M";"Wissenschaft";63,6;"Fin";53,98;"Ja";76;"Ja"
"M";"Wissenschaft";78,43;"Fin";65,08;"Ja";86,1;"Ja"
"M";"Handel";70,7;"HR";59,4;"Nein";69,7;"Nein"
"F";"Handel";65;"Fin";62,23;"Nein";54,2;"Nein"
"M";"Handel";57,5;"HR";61,69;"Nein";65,1;"Nein"
"F";"Handel";49,1;"Fin";52,49;"Nein";75,08;"Nein"
"F";"Handel";79,2;"Fin";62,58;"Nein";71,85;"Ja"
"M";"Wissenschaft";74,2;"HR";57,76;"Nein";67,72;"Ja"
"F";"Handel";79;"HR";61,04;"Nein";72,5;"Ja"
"M";"Wissenschaft";69,7;"HR";61,26;"Ja";65,1;"Ja"
